Metric,Unit,Value
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,42.87
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100.00
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,43.27
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,40.89
sm__warps_active.avg.pct_of_peak_sustained_active,%,52.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,43.35
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100.00
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.04
sm__warps_active.avg.pct_of_peak_sustained_active,%,43.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,42.41
sm__warps_active.avg.pct_of_peak_sustained_active,%,52.73
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,45.46
sm__warps_active.avg.pct_of_peak_sustained_active,%,94.51
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.47
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,71.73
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,18.32
sm__warps_active.avg.pct_of_peak_sustained_active,%,52.70
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.42
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,5.86
sm__warps_active.avg.pct_of_peak_sustained_active,%,15.63
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.08
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.21
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100.00
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,8.37
sm__warps_active.avg.pct_of_peak_sustained_active,%,22.57
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.37
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.99
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.97
sm__warps_active.avg.pct_of_peak_sustained_active,%,7.42
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.61
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.99
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.85
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.96
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.19
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.97
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.60
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.42
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.32
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.96
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.44
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.23
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.51
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.99
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.09
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.80
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.97
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.73
sm__warps_active.avg.pct_of_peak_sustained_active,%,9.66
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.55
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.99
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.67
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.39
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.48
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.71
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.98
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.28
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.14
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.95
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.06
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.92
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.95
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.20
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.19
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.89
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.87
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.39
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.65
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.46
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.95
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.49
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.49
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.99
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.88
sm__warps_active.avg.pct_of_peak_sustained_active,%,10.19
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.45
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.36
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.72
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.61
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.14
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.95
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,21.73
sm__warps_active.avg.pct_of_peak_sustained_active,%,73.98
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.27
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.99
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,89.54
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.02
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.01
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.03
sm__warps_active.avg.pct_of_peak_sustained_active,%,4.35
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,100
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.01
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,19.35
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.78
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.20
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,123.83
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,128.67
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.27
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.67
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.23
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,131.16
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,119.83
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,10.32
sm__warps_active.avg.pct_of_peak_sustained_active,%,21.04
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.32
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.08
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,87.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,19.21
sm__warps_active.avg.pct_of_peak_sustained_active,%,37.27
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.11
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,84.34
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.53
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.38
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.30
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.45
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.20
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.54
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.18
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.20
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.11
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
