Metric,Unit,Value
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,43.30
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100.00
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,43.47
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,39.63
sm__warps_active.avg.pct_of_peak_sustained_active,%,51.28
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,43.66
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100.00
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,43.57
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,39.81
sm__warps_active.avg.pct_of_peak_sustained_active,%,51.47
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.15
sm__warps_active.avg.pct_of_peak_sustained_active,%,84.06
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.10
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.77
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.56
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.15
sm__warps_active.avg.pct_of_peak_sustained_active,%,83.65
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.11
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.77
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.56
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.15
sm__warps_active.avg.pct_of_peak_sustained_active,%,83.45
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.11
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.77
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.56
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.16
sm__warps_active.avg.pct_of_peak_sustained_active,%,83.82
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.11
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.77
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.56
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.16
sm__warps_active.avg.pct_of_peak_sustained_active,%,83.50
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.11
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.77
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.56
