Metric,Unit,Value
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,5.02
sm__warps_active.avg.pct_of_peak_sustained_active,%,34.14
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,90.83
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,12.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.04
sm__warps_active.avg.pct_of_peak_sustained_active,%,10.83
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,7.21
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,12.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,9.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,62.50
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,62.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,3.12
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,18.18
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,25
