Metric,Unit,Value
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,43.29
sm__warps_active.avg.pct_of_peak_sustained_active,%,77.36
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.63
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,43.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,77.33
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.63
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,43.51
sm__warps_active.avg.pct_of_peak_sustained_active,%,77.32
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.63
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,43.62
sm__warps_active.avg.pct_of_peak_sustained_active,%,77.44
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.63
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.00
sm__warps_active.avg.pct_of_peak_sustained_active,%,82.23
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.51
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.00
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.90
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.26
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.19
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,73.15
sm__warps_active.avg.pct_of_peak_sustained_active,%,92.58
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.03
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,100
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,72.86
sm__warps_active.avg.pct_of_peak_sustained_active,%,92.22
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.03
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,100
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.34
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,58.57
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,7.02
sm__warps_active.avg.pct_of_peak_sustained_active,%,94.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.40
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,18.98
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,25
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,74.58
sm__warps_active.avg.pct_of_peak_sustained_active,%,92.32
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.36
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,100
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,76.24
sm__warps_active.avg.pct_of_peak_sustained_active,%,92.56
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.03
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,100
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.84
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.08
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,21.55
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.00
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.26
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,85.04
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,6.10
sm__warps_active.avg.pct_of_peak_sustained_active,%,47.26
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.57
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,103.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,66.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,89.62
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.37
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,100
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,69.42
sm__warps_active.avg.pct_of_peak_sustained_active,%,89.90
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,100
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,6.63
sm__warps_active.avg.pct_of_peak_sustained_active,%,18.01
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.10
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,12.50
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.00
sm__warps_active.avg.pct_of_peak_sustained_active,%,11.88
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.08
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,10.92
sm__warps_active.avg.pct_of_peak_sustained_active,%,39.34
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.57
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,105.30
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,51.05
sm__warps_active.avg.pct_of_peak_sustained_active,%,83.67
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.39
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,100
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,54.92
sm__warps_active.avg.pct_of_peak_sustained_active,%,79.93
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,100
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,5.05
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.99
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,12.50
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.00
sm__warps_active.avg.pct_of_peak_sustained_active,%,11.78
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,76.17
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,5.52
sm__warps_active.avg.pct_of_peak_sustained_active,%,25.00
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.56
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,109.17
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,23.41
