CUDA API Statistics:

 Time(%)  Total Time (ns)  Num Calls     Average     Minimum     Maximum               Name
 -------  ---------------  ---------  -------------  -------  -------------  ------------------------
    71.3   30,068,242,315  3,837,668        7,835.0    4,860      5,834,947  cudaLaunchKernel
    12.9    5,444,300,604         26  209,396,177.1    6,569  5,436,925,252  cudaMalloc
     4.0    1,684,201,763     39,205       42,958.9    5,180     85,938,112  cudaMemcpyAsync
     2.9    1,237,457,653    557,892        2,218.1    1,109         99,275  cudaEventQuery
     2.7    1,127,332,509     31,359       35,949.2    1,943      4,988,949  cudaStreamSynchronize
     2.6    1,102,372,063    120,588        9,141.6    4,782     49,150,612  cudaMemsetAsync
     2.4    1,014,686,466    557,892        1,818.8    1,195        591,620  cudaEventRecord
     1.1      477,968,915          7   68,281,273.6      881    254,881,865  cudaFree
     0.0           35,485          4        8,871.3    1,494         23,547  cudaDeviceSynchronize
     0.0           32,162          1       32,162.0   32,162         32,162  cudaMemcpy
     0.0           15,605         18          866.9      475          4,671  cudaEventDestroy
     0.0           12,795         18          710.8      504          1,961  cudaEventCreateWithFlags
     0.0            2,296          2        1,148.0    1,125          1,171  cuInit



CUDA Kernel Statistics:

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                  Name                                               
 -------  ---------------  ---------  ---------  -------  -------  ----------------------------------------------------------------------------------------------------
    33.2   17,694,599,205    313,239   56,489.1   16,575  268,126  volta_sgemm_128x64_tn                                                                              
    17.4    9,259,627,348     84,144  110,045.0   24,416  412,061  volta_sgemm_128x128_tn                                                                             
    10.3    5,462,387,660     74,208   73,609.1   19,040  141,951  volta_sgemm_128x32_sliced1x4_tn                                                                    
     6.6    3,513,798,881    184,848   19,009.1    6,496  110,495  volta_sgemm_128x64_nn                                                                              
     5.8    3,107,669,261     30,492  101,917.5   52,224  142,559  volta_sgemm_64x64_tn                                                                               
     5.7    3,031,412,341    662,915    4,572.9    2,463   49,632  void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*…
     3.4    1,825,012,153    437,304    4,173.3    1,695   11,008  void splitKreduce_kernel<float, float, float>(cublasSplitKParams<float>, float const*, float const*…
     2.7    1,457,262,463    374,352    3,892.8    2,111   14,079  void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator&,…
     2.7    1,445,029,277    382,151    3,781.3    1,120   47,200  void at::native::vectorized_elementwise_kernel<4, at::native::MulScalarFunctor<float, float>, at::d…
     2.4    1,284,855,127     50,130   25,630.5    9,567   64,959  volta_sgemm_64x32_sliced1x4_tn                                                                     
     2.0    1,047,268,264    296,362    3,533.7    1,088   35,648  void at::native::vectorized_elementwise_kernel<4, at::native::AddFunctor<float>, at::detail::Array<…
     1.3      700,506,954    194,975    3,592.8    1,760    8,576  void at::native::(anonymous namespace)::RowwiseMomentsCUDAKernel<float>(long, float, float const*, …
     1.3      697,452,835    194,975    3,577.1    1,120    6,048  void at::native::(anonymous namespace)::LayerNormForwardCUDAKernel<float>(long, float const*, float…
     1.1      607,847,501     93,588    6,494.9    1,311   35,744  void at::native::vectorized_elementwise_kernel<4, at::native::MulFunctor<float>, at::detail::Array<…
     0.8      417,518,667     93,588    4,461.2    1,248   24,512  void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_sca…
     0.8      407,060,581    101,387    4,014.9    1,471   24,672  void at::native::vectorized_elementwise_kernel<4, at::native::tanh_kernel_cuda(at::TensorIterator&)…
     0.6      328,216,453     93,588    3,507.0    1,248   24,479  void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<at::native::AddFunctor<…
     0.4      200,183,857      9,924   20,171.7    8,640   51,199  void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false>(float*, float const…
     0.4      196,072,374     12,957   15,132.5   13,024   24,256  volta_sgemm_128x32_tn                                                                              
     0.3      158,643,447     31,560    5,026.7    3,424    8,224  void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false>(float*, float const…
     0.2      103,334,473     30,276    3,413.1    2,560    8,511  void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false>(float*, float const…
     0.1       60,102,295     23,106    2,601.2    1,920    3,360  void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, …
     0.1       58,436,213      7,799    7,492.8    6,400    8,895  void gemv2T_kernel_val<int, int, float, float, float, 128, 16, 4, 4, false, cublasGemvParams<cublas…
     0.1       34,066,197      3,719    9,160.0    6,272   10,816  volta_sgemm_32x32_sliced1x4_tn                                                                     
